Date,RBLBANK.NS,SUNDARMFIN.NS,MAHABANK.NS,JYOTHYLAB.NS,RELIANCE.NS,PETRONET.NS,SUNDARMHLD.NS
2022-01-31,146.32476806640625,2182.176513671875,18.265308380126953,135.47427368164062,2180.53759765625,191.10153198242188,76.28338623046875
2022-02-01,148.3474578857422,2154.47900390625,17.87390899658203,135.85926818847656,2173.319580078125,192.21908569335938,76.78765869140625
2022-02-02,152.63951110839844,2190.829345703125,18.526241302490234,135.61863708496094,2177.7509765625,190.96742248535156,76.37507629394531
2022-02-03,151.5048370361328,2187.15576171875,18.265308380126953,136.8699188232422,2149.610107421875,190.47569274902344,76.74181365966797
2022-02-04,147.65676879882812,2175.264404296875,17.87390899658203,134.5598907470703,2130.012451171875,190.20748901367188,76.23755645751953
2022-02-07,144.30206298828125,2212.871337890625,17.656465530395508,134.6561279296875,2117.038330078125,189.53695678710938,74.77056121826172
2022-02-08,142.72337341308594,2153.99560546875,17.5260009765625,134.7042694091797,2152.625244140625,193.5154266357422,74.26627349853516
2022-02-09,144.3513946533203,2158.394287109375,17.569488525390625,135.5224151611328,2177.705322265625,194.9011993408203,74.1745834350586
2022-02-10,144.4500732421875,2145.48828125,17.48250961303711,134.03050231933594,2175.466796875,196.28697204589844,75.68741607666016
2022-02-11,139.91134643554688,2128.715087890625,17.221576690673828,132.9717254638672,2171.21826171875,199.86314392089844,73.89952850341797
2022-02-14,133.4485626220703,2062.29833984375,16.5257568359375,130.56544494628906,2136.63623046875,193.15782165527344,73.24966430664062
2022-02-15,141.19403076171875,2069.935546875,16.743202209472656,131.0466766357422,2209.1806640625,193.0684356689453,74.64224243164062
2022-02-16,141.391357421875,2067.03515625,16.743202209472656,131.96109008789062,2204.612548828125,194.9011993408203,74.36370849609375
2022-02-17,138.48065185546875,2061.498779296875,16.482269287109375,132.8273468017578,2232.524658203125,193.5601348876953,74.2244644165039
2022-02-18,138.38198852539062,2035.128173828125,16.482269287109375,133.01983642578125,2215.073974609375,190.5203857421875,73.66742706298828
2022-02-21,136.11260986328125,1983.211669921875,16.22133445739746,130.2285614013672,2192.689208984375,186.273681640625,71.57855987548828
2022-02-22,136.11260986328125,1934.937744140625,15.65597915649414,128.3516387939453,2182.730224609375,185.29022216796875,68.97908782958984
2022-02-23,136.90196228027344,1869.957275390625,16.047380447387695,130.90231323242188,2169.0712890625,183.50216674804688,71.1607894897461
2022-02-24,120.67106628417969,1772.8267822265625,15.047134399414062,126.66724395751953,2060.9853515625,170.7173614501953,67.86502075195312
2022-02-25,131.17921447753906,1796.9638671875,15.351556777954102,128.44790649414062,2086.750732421875,182.8763427734375,69.72178649902344
2022-02-28,131.57388305664062,1843.440673828125,15.482023239135742,131.81671142578125,2155.822998046875,192.48728942871094,69.5361099243164
2022-03-02,131.08053588867188,1807.1624755859375,15.65597915649414,130.8542022705078,2191.4560546875,193.2919158935547,68.93265533447266
2022-03-03,129.40316772460938,1826.2972412109375,15.569002151489258,132.53858947753906,2172.9541015625,192.12965393066406,67.818603515625
2022-03-04,124.86445617675781,1775.3037109375,15.525513648986816,134.89675903320312,2124.7587890625,191.81674194335938,66.9830551147461
2022-03-07,120.22705078125,1754.7606201171875,15.308070182800293,133.9823760986328,2046.1842041015625,195.08001708984375,64.98702239990234
2022-03-08,126.73914337158203,1741.9393310546875,15.525513648986816,134.1267547607422,2042.4837646484375,197.44921875,66.65811157226562
2022-03-09,129.84718322753906,1742.279296875,15.699467658996582,134.80052185058594,2150.84375,190.1627960205078,68.14353942871094
2022-03-10,131.5245361328125,1846.1602783203125,15.87342357635498,134.75238037109375,2185.69970703125,187.83827209472656,67.63292694091797
2022-03-11,132.06723022460938,1891.1805419921875,15.742958068847656,135.0411376953125,2192.00390625,187.39125061035156,67.26156616210938
2022-03-14,131.3765411376953,1855.5821533203125,15.6124906539917,136.67742919921875,2210.0029296875,183.7703857421875,67.40082550048828
2022-03-15,127.52848815917969,1808.0853271484375,15.525513648986816,139.70933532714844,2159.38623046875,180.99884033203125,67.26156616210938
2022-03-16,131.5245361328125,1795.5552978515625,15.569002151489258,138.79495239257812,2195.84130859375,183.18923950195312,68.28279113769531
2022-03-17,134.63259887695312,1790.16455078125,15.525513648986816,139.70933532714844,2267.4267578125,184.5750274658203,67.63292694091797
2022-03-21,131.5245361328125,1809.2994384765625,15.525513648986816,139.516845703125,2254.361083984375,174.20413208007812,67.77217864990234
2022-03-22,133.0045623779297,1848.054443359375,15.525513648986816,139.3243408203125,2312.607177734375,174.07000732421875,67.72576141357422
2022-03-23,132.46189880371094,1817.944091796875,15.438533782958984,139.22808837890625,2319.961669921875,175.27699279785156,67.44725036621094
2022-03-24,133.201904296875,1836.2530517578125,15.351556777954102,140.4312286376953,2356.005615234375,176.43922424316406,66.65811157226562
2022-03-25,131.57388305664062,1856.213623046875,15.177603721618652,139.42059326171875,2371.720703125,174.8299560546875,65.54405975341797
2022-03-28,128.8605194091797,1837.8072509765625,15.438533782958984,133.1642303466797,2395.5673828125,171.43258666992188,64.56925201416016
2022-03-29,126.93647766113281,1810.0277099609375,14.394803047180176,129.60292053222656,2396.115478515625,172.72894287109375,63.315921783447266
2022-03-30,127.52848815917969,1845.04345703125,15.003646850585938,139.08370971679688,2442.163818359375,175.0981903076172,65.63689422607422
2022-03-31,128.46583557128906,1884.5269775390625,14.52527141571045,141.9231414794922,2407.261962890625,173.22068786621094,64.337158203125
2022-04-01,135.17526245117188,1892.8802490234375,15.090625762939453,143.70379638671875,2426.5400390625,177.46737670898438,67.35440063476562
