Date,RBLBANK.NS,SUNDARMFIN.NS,MAHABANK.NS,JYOTHYLAB.NS,RELIANCE.NS,PETRONET.NS,SUNDARMHLD.NS
2023-01-09,183.32528686523438,2294.23486328125,27.897869110107422,198.71054077148438,2380.32958984375,206.95562744140625,86.41865539550781
2023-01-10,178.0958709716797,2306.115966796875,26.684919357299805,198.71054077148438,2345.130859375,207.4746551513672,84.44174194335938
2023-01-11,178.58921813964844,2259.81884765625,27.58340072631836,200.6193389892578,2315.569580078125,208.0880584716797,85.28899383544922
2023-01-12,175.4318389892578,2260.506103515625,28.12248992919922,201.94082641601562,2265.56640625,206.578125,84.86536407470703
2023-01-13,174.4945068359375,2279.653564453125,28.481884002685547,198.36793518066406,2261.900146484375,208.6071014404297,85.71261596679688
2023-01-16,173.21180725097656,2273.22216796875,29.694833755493164,193.03309631347656,2240.35888671875,206.86123657226562,85.2419204711914
2023-01-17,169.6104278564453,2277.689453125,28.751428604125977,199.15103149414062,2272.16650390625,207.33309936523438,83.5003662109375
2023-01-18,170.15309143066406,2251.374267578125,28.751428604125977,200.6682891845703,2268.407958984375,209.50363159179688,84.39466857910156
2023-01-19,165.07168579101562,2227.857666015625,28.39203453063965,199.9830780029297,2265.979248046875,210.400146484375,83.7357177734375
2023-01-20,167.5384063720703,2248.625244140625,28.12248992919922,198.3190155029297,2239.030029296875,210.400146484375,82.8414077758789
2023-01-23,165.1703643798828,2242.24267578125,27.763097763061523,199.00421142578125,2227.709228515625,213.84471130371094,82.18243408203125
2023-01-24,158.6089324951172,2226.679443359375,26.639995574951172,198.4658203125,2214.5556640625,217.10049438476562,82.51191711425781
2023-01-25,155.84622192382812,2207.8759765625,26.460298538208008,199.54258728027344,2183.939697265625,212.57069396972656,81.099853515625
2023-01-27,148.64346313476562,2206.059326171875,24.932878494262695,200.47251892089844,2142.507568359375,212.8538055419922,80.06433868408203
2023-01-30,147.80479431152344,2220.4931640625,25.92121124267578,199.49365234375,2163.04052734375,207.14434814453125,81.33519744873047
2023-01-31,153.675537109375,2227.612060546875,27.31385612487793,200.6682891845703,2157.632080078125,205.02101135253906,83.31209564208984
2023-02-01,146.4234161376953,2240.67138671875,25.786439895629883,201.5003204345703,2144.84521484375,204.21884155273438,80.62916564941406
2023-02-02,153.37953186035156,2255.056884765625,25.92121124267578,203.60488891601562,2132.974609375,199.0756378173828,80.53502655029297
2023-02-03,155.3035430908203,2261.046142578125,25.876285552978516,204.92636108398438,2134.853759765625,197.2825927734375,80.2996826171875
2023-02-06,161.3223114013672,2253.583740234375,25.696590423583984,208.84185791015625,2118.7666015625,200.5855712890625,81.47640991210938
2023-02-07,161.3223114013672,2279.70263671875,25.29227066040039,202.82179260253906,2113.679443359375,206.4365692138672,81.099853515625
2023-02-08,164.57835388183594,2281.32275390625,25.202423095703125,203.31121826171875,2155.890625,212.19320678710938,82.08829498291016
2023-02-09,165.81170654296875,2279.01513671875,24.977802276611328,200.32566833496094,2159.648681640625,211.0607452392578,82.7943344116211
2023-02-10,166.9957275390625,2282.156982421875,25.337196350097656,201.10877990722656,2141.865966796875,209.7867431640625,83.40623474121094
2023-02-13,164.0850067138672,2287.99951171875,24.528560638427734,202.18553161621094,2129.6748046875,208.04087829589844,83.45330047607422
2023-02-14,163.3943328857422,2301.353271484375,24.348867416381836,199.93414306640625,2179.86083984375,209.07896423339844,83.30966186523438
2023-02-15,161.51963806152344,2310.681884765625,24.483638763427734,198.36793518066406,2229.2216796875,209.31488037109375,85.51210021972656
2023-02-16,159.7436065673828,2307.097900390625,24.348867416381836,197.58485412597656,2227.47998046875,207.38027954101562,85.3205795288086
2023-02-17,156.53689575195312,2322.543701171875,24.16916847229004,197.38906860351562,2236.783935546875,206.29501342773438,84.69815063476562
2023-02-20,156.6355743408203,2297.376220703125,23.675004959106445,192.39683532714844,2213.135009765625,203.6526336669922,84.07572174072266
2023-02-21,156.7342529296875,2308.97314453125,23.45038414001465,194.9908447265625,2231.192626953125,201.43490600585938,83.59693145751953
2023-02-22,151.40615844726562,2283.70703125,23.001142501831055,189.70494079589844,2180.593994140625,204.73789978027344,82.30419158935547
2023-02-23,151.75149536132812,2271.61669921875,23.046066284179688,190.97747802734375,2170.144287109375,207.28590393066406,80.67631530761719
2023-02-24,151.1101531982422,2271.32080078125,22.596824645996094,187.20883178710938,2184.993896484375,209.22052001953125,79.91023254394531
2023-02-27,150.32083129882812,2261.94482421875,22.551902770996094,186.32785034179688,2170.465087890625,210.77764892578125,78.33023071289062
2023-02-28,153.77420043945312,2257.05908203125,22.91129493713379,186.22996520996094,2128.94140625,210.0226593017578,78.95265197753906
2023-03-01,158.90493774414062,2276.3046875,23.80977439880371,186.18099975585938,2148.51171875,207.8521270751953,78.66539001464844
2023-03-02,158.8062744140625,2298.60986328125,23.36053466796875,183.83172607421875,2132.1494140625,209.40924072265625,78.33023071289062
2023-03-03,164.4796905517578,2292.589599609375,24.887954711914062,183.9785614013672,2186.55224609375,210.400146484375,79.86237335205078
2023-03-06,163.69033813476562,2273.245361328125,24.70825958251953,186.0341796875,2207.909912109375,211.8157196044922,80.3411636352539
2023-03-08,163.14767456054688,2269.741455078125,24.753183364868164,185.4958038330078,2215.8388671875,217.2892303466797,81.44237518310547
2023-03-09,157.52357482910156,2260.2177734375,24.348867416381836,189.75390625,2162.58203125,217.71389770507812,81.92117309570312
2023-03-10,152.83685302734375,2258.44091796875,24.07931900024414,189.3134002685547,2129.078857421875,218.84634399414062,80.91570281982422
